Service,Service Date,Description,Amount,Class,Invoice No.,Customer,Invoice Date,Due Date
Turn Clean,08/03/2026,Heidi Schelton 247,$340.00,Heidi Schelton 247,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Renee Carter 123,$160.00,Renee Carter 123,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Shane Stephens 3516,$140.00,Shane Stephens 3516,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Candace Thompson 673,$350.00,Candace Thompson 673,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Siobhan Belgiovene 1820,$200.00,Siobhan Belgiovene 1820,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,John Kirkman 510,$335.00,John Kirkman 510,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Stephanie Keegan 1260-5307,$130.00,Stephanie Keegan 1260-5307,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Earl Hodges 513-3,$145.00,Earl Hodges 513-3,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Frank Spitznagel 1726,$435.40,Frank Spitznagel 1726,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Glen Peterson 233,$235.00,Glen Peterson 233,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Misty Mcintyre 2729,$373.00,Misty Mcintyre 2729,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Brad Spurgin 1410,$190.00,Brad Spurgin 1410,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Brendan Smith 4386,$304.00,Brendan Smith 4386,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Jason Whitehead 659,$235.00,Jason Whitehead 659,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Sean Gagnon 411,$318.00,Sean Gagnon 411,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Elizabeth Garcia 309,$238.00,Elizabeth Garcia 309,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Denny Johnson 2251,$175.00,Denny Johnson 2251,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Kerry Doane 3005,$300.00,Kerry Doane 3005,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Adam Pike 1071,$390.00,Adam Pike 1071,1085,Haven,08/10/2026,08/10/2026
Excessive Trash Pickup,08/03/2026,Adam Pike 1071,$50.00,Adam Pike 1071,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Su-Tang Lo 4005,$200.00,Su-Tang Lo 4005,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Erica Sadler 1625,$235.00,Erica Sadler 1625,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Megan Helms 1469,$225.00,Megan Helms 1469,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Lauren Dela Cruz 1550,$232.00,Lauren Dela Cruz 1550,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/03/2026,Christina Kittle 1908,$141.12,Christina Kittle 1908,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Nathan Frame 4530,$255.00,Nathan Frame 4530,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Melissa Allen 3666,$225.00,Melissa Allen 3666,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Dylan Robinson 744,$325.00,Dylan Robinson 744,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Ramesh Kumar 772,$300.00,Ramesh Kumar 772,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Kevin Parrish 3836,$402.08,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Nathan Sukhia 843,$220.00,Nathan Sukhia 843,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Mehrnaz Mortazavi 1909,$185.00,Mehrnaz Mortazavi 1909,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Earl Hodges 513-1,$145.00,Earl Hodges 513-1,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Larry Burton 725,$210.00,Larry Burton 725,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Juan Nunez 3272,$299.00,Juan Nunez 3272,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Doug Poll 740,$318.50,Doug Poll 740,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Laura Earl 1117,$330.00,Laura Earl 1117,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Mike Gunter 2691-8,$99.00,Mike Gunter 2691-8,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/04/2026,Kumar Sanam 576,$330.00,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/04/2026,Kumar Sanam 576,$50.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Kachi Nwabuko 2087,$335.00,Kachi Nwabuko 2087,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Lou and Elva Romano 2556,$665.00,Lou and Elva Romano 2556,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Terry Reeves 830,$220.00,Terry Reeves 830,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Annie Wang 904,$290.00,Annie Wang 904,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/04/2026,Kristen Cannon 428,$315.00,Kristen Cannon 428,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Derek Trainer 1687,$215.00,Derek Trainer 1687,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Jace and Katty Eichorn 1525,$320.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,JP Davanzo 327,$155.00,JP Davanzo 327,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,David Sussman 3759,$440.00,David Sussman 3759,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Megan Waymire 3770,$178.00,Megan Waymire 3770,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Tara Rao 116,$150.00,Tara Rao 116,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Brian Hopp 3163,$190.00,Brian Hopp 3163,1085,Haven,08/10/2026,08/10/2026
